post,label
"Attitude in life is a determinant factor for eternal life or eternal sorrow. Repent from sin. Obey Jesus.
JESUS IS COMING SOON",neutral
"Nearly three weeks ago, I set about writing a letter to the editor of The Stanford Daily as a Jewish student severely disappointed with the university’s response to the Israel-Hamas war and subsequent antisemitism on campus. The response from the Daily, unfortunately, only substantiated my concerns",against
"Fear ,,, Israel in fear..... Hamas only use old weapon,,, its like David agains Goliath... Hamas Palestine win...🇵🇸🇵🇸🇵🇸",with
I CRATE AND EDIT ONLY FOR PALESTINE❤️❤️❤️🇸🇩🇸🇩🇸🇩🇸🇩🇸🇩🇸🇩🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰,with
The war continues in the North with Lebanese Terrorist! #fbisrael,against
"Palestina will be free, Palestine winner",with
The world will never be free until PALESTINE 🇵🇸 is free,with
"How pathetic they are😅
He didn't see her, but he shot her in the head where her helmet didnt cover, do they think really the world will believe such bullshit, as always they got things out of control

‎Viva Palestina فلسطين حرة‎
May 15, 2022 at 10:42 PM ·

Haaretz: The Israeli soldier who is accused of murdering Sherin Abu Aqla claims in the investigation that he didn't see Sherin, he didn't know that she was Sherin and he opened fire from a small hole in the military vehicle""",with
"I bless you Israel, go forth and shine for the Lord is with thee.",against
I love Israeli🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱 and I support Israelites by praying for them please join me to wish them victory💪💪 type Amen👇,against
"Rejoice O' people of God, for you have overcame fear, defeating evil through the guidance and help of our Lord Jesus Christ you shall claim victory not just today, not just tomorrow but forever. May Israel live forever.

🙌🇮🇱 🙌🇮🇱 🙌🇮🇱 🙌🇮🇱 🙌🇮🇱 🙌🇮🇱 🙌🇮🇱",against
Welcome Home!,neutral
"I am from Colombia 🇨🇴 i forever support Israel the chosen Nation 🇮🇱💕

- Dayana",against
"ATTENTION MEMBERS: We welcome new members, but we try to vet each & some hostiles may get by.. PLEASE USE THE REPORT feature.
APOLOGIES if your post was declined ..it may not be for the CONTENT, but because we are having so many DUPLICATES.
No one will read down the page when we post so many new threads. I would prefer to see fewer posts of the same things and more discussions of your thoughts on the ones posted.

WAR is popular. Everyone has something to post & say. Please be patient & understanding.

20-50 new members a day and 30-40 new posts.. all need to be looked at.. I DO want them all posted as RECORD of these current events..

AND>>> We do not check each group or person asking for donations. Please check out any charity to make sure it's legit before you donate.",neutral
"السلام عليكم
Mohammed Rashid, a palestine national team player, became the pride of the Indonesian club, Persib Bandung, a defensive midfielder from Palestine who was in the spotlight of the Indonesian media, and Mohammed Rashid gave Message of peace to Indonesia and the world to Palestine, our beloved country, welcome Rashid to Indonesia in your 2nd home after Palestine, in 3 matches he has scored 3 goals and 4 assists,We are supporters of Persib, we really love Palestine, Palestine is our friend, Palestine you are not alone, we are Indonesian and also countries in the world who always support Palestinian freedom. From Israeli occupiers Koyak!
🇵🇸❤️🇮🇩",with
"Here you go. The verb to ""#israel"" has been added to the Urban Dictionary to mean when a person claims something that belongs to you as theirs. #IsraeliApartheid #IsraeliTerrorists",with
The Jewish nation made the biggest mistake by attacking Gaza. God rewrote the script of destiny for the Jews in the spiritual world. But you have made a big mistake. A lot is lost by one mistake.,with
"A flashback

History repeats.
1. There was a time when Israelis came as guests to Egypt during the rule of Prophet Yusuf (A) when they were good people. Similarly Israelis came to Palestine as guests.
2. Later history changed. Pharova came and enslaved them. The suitation continued for very long. Same like fake israel (pharova) doing to Palestinians today.
3. Then one day pharova had seen a dream, that a boy will be born to his second class citizens and will destroy him.
4. He decided to kill every boy born into Israel. You see that parallel?. They specifically target Palestinian kids, in order to reduce Palestinians.
5. But sorry, the boy was finally born and brought up under his watch. Lets see when is that going to happen.
6. The boy Moosa (A), asked in plain language to the head of govt pharova multiple times, to save them. But he didn't listen.
7. Moosa (A) took his people across red sea while pharova attacked. And in the end Pharova and people dead in sea.

My dear Palestinians, be patient. One day this sickness apartheid will be over. It will take a moment to change the scene",with
"GOD created the earth and all of us people and all that is in the earth ,So we should live as one people, brothers and sisters .♥️🙏♥️ ISRAEL and PALESTINE ♥️",neutral
"IRANIAN BACKED HOUTHI’S IN YEMEN, MISSLE TAKEN DOWN BY NEW ARROW 3 SYSTEM!
🇮🇱 Israel's Air Force used the 'Arrow 3' air defense system today to intercept a missile launched at Eilat by Houthis in Yemen. It was the first-ever use of the system, and came on the heels of the first successful use of the 'Arrow 2' system for the same purpose last week, which marked the first-ever instance of combat outside Earth's atmosphere.
The 'Arrow 3' system, developed by Israel Aerospace Industries, a leading defense firm, is an advanced air defense system for intercepting ballistic missiles in space. In August, Israel announced that it would sell the system to Germany for NIS 14 billion, in what is to date the largest defense deal in Israel's history. The sale came amid Germany's decision to upgrade its defenses in the wake of Russia's invasion of Ukraine. Jerusalem Post 📜 #fbisrael 🪔",neutral
God bless those who bless Israel! Thank you all for all your support!🙏🇮🇱💙🇮🇱💙🇮🇱💙🇮🇱,against
"Israel is a militant terrorist group nation in the heart of the world. They are creating militancy in the Arab world and they have some mitts who are helping them in various ways at different times. They are called World War.
Israel is now occupying the country that made them a mess.
In order to spread the anti-hegemony, the world Muslims are carrying out their peace activities in the first Qibla of Al-Aqsa Mosque of Ummah and they are continuing to kill Palestinian Muslims along with some Muslims. Again, Israel is not a country. Those who have recognized them as a country are using them as a stick. No other country.

Therefore the nation of Israel needs to be eradicated from the world",with
"#gazaunderattack
Allahhuakbar..Allahhuakbar... Allahhuakbar😭😭😭
Now I'm afraid to go to social media because every time I open it, I'll cry when I see the video of the plight of our brothers there.. Oh God, I know I'm not your good servant, but I'm begging you to get rid of those cruel Israeli soldiers 🤲

#kasihpalestina #palestina #masjidistiqlal #palestinamerdeka #hafizhquran #istiqlal #istiqlalmosque #kasihpalestina🇵🇸 #palestinaindonesia #hafiz #tahfidzquran #bantupalestina #palestinaterkini #palestina🇵🇸

We are with Palestine
October 25 at 3:29 PM ·",with
I'm form the pakistan,with
"This is mass killing by israeli in Gaza..

Bloody British colonizer & America still lying the world like 9/11.

Once we had trust them for 9/11, which they killed million of Iraqi & Afghani.

This time we cant give them chance again to kill innocence people.

There are hundreds of proof that 9/11 was a mastermind plan by Bush and Mossad (Jewish) .",with
"3 heroes: Captain J., Captain D. and Captain Y. all serve as doctors in commando units.

CPT J. from the Egoz Unit was supposed to fly to the U.S. on the morning of October 7. Instead, he was one of the first soldiers at the Kissufim base and saved 37 wounded under fire.

Captain Y. from the Duvdevan Unit didn’t stop helping dozens of wounded, even after treating his best friend from the unit, who was mortally wounded and died.

CPT D. from the Maglan Unit participated in clearing Kibbutz Nahal Oz of terrorists—while also treating the wounded—for 3 days straight.

🚨 Get INSTANT war updates; join a Jewish Breaking News WhatsApp channel. Link in BIO!

(IMPORTANT: Be sure to click follow and activate notifications—bell icon—to receive alerts from our channel)",against
"Shabbat Shalom 💙🇮🇱💙

A Light to the Nations

After blessing each of the tribes individually, Moses blessed the Jewish people collectively, contrasting their role in the world with that of all other nations.

לָךְ וְאַתָּה עַל בָּמוֹתֵימוֹ תִדְרֹךְ: (דברים לג:כח–כט)
[Moses said of the Jewish people,] “Israel will dwell safely and individually. . . . Your enemies will lie to you [pretending to be your friends], but you will tread upon their heights.” Deuteronomy 33:28-29

Moses here referred prophetically to a non-Jewish nation who pretended to be the Jewish people’s ally after witnessing the miraculous fall of Jericho.

These verses encapsulate the attitudes that we, as Jews, should cultivate vis-à-vis our relationship with the rest of humanity. First, we must realize that we have a unique purpose in this world that sets us apart. We are Jews intrinsically, because of the mission that God has charged us with – not because of anything that others may say about us or do to us.

With this self-assurance, we can then proceed to help the rest of humanity realize its potential. Respectfully, but firmly, we must help them eliminate any residual negativity or antagonism toward Divinity. Then, we can show them how to join us in bringing the world to its ultimate fulfillment, transforming it into God’s true home.
#StandWithIsrael #peace #Torah",against
I love Israel,against
May God Sent me Gaza soon And very soon...To join My Muslims brothers... Please say Ameen.....plz plz plz,with
"Muhamad Syahmi Jesus Christ was a Jewish Rabi living where?? Israël! Jésus Christ, another sioniste you are going to say 🤣 Anyone crying about equality! Go and live with Hamas, Esbollah or Ayatollahs! You will have great Lawyers there 🤣🤣🤣🇮🇱🇮🇱🇮🇱",against
"CITY OF DAVID SITES
ISRAEL IS BLESSED FOREVER 🙌",against
"Palestinian faithful pray Eid Prayers outside the Dome of the Rock Mosque, Jerusalem.",neutral
"Empty calls for cease-fire without understanding what is going on are exactly what they are- empty hollow calls. Ceasefire can only be when the hostages return and Hamas surrenders. If Israel will cease fire, but only Israel agrees to it, then we will get October 7th all over again, probably ten-folds. If you care about the innocents of both sides - call for the surrender of Hamas. Save Israel, Gazan civilians, and the world from their evil radical agendas. #StandWithIsrael #HamasisISIS #BringThemHomeNow
#israelwillwintheterror
https://www.facebook.com/watch/?v=670664521865533

Renny Grinshpan
October 31 at 5:12 PM ·

Ceasefire now?! Watch and think again.
#BringThemHomeNow!
#HamasisISIS #Israel #SupportIsrael #BringThemHome #ceasefire",against
"Cyrus is a king mentioned more than 30 times in the Bible and is identified as Cyrus the Great (also Cyrus II or Cyrus the Elder) who reigned over Persia between 539—530 BC. This pagan king is important in Jewish history because it was under his rule that Jews were first allowed to return to Israel after 70 years of captivity.

In one of the most amazing prophecies of the Bible, the Lord revealed Cyrus’s decree to free the Jews to Isaiah. One hundred fifty years before Cyrus lived, the prophet calls him by name and gives details of Cyrus’s benevolence to the Jews: “This is what the Lord says to his anointed, to Cyrus, whose right hand I take hold of to subdue nations before him . . . ‘I summon you by name and bestow on you a title of honor, though you do not acknowledge me’” (Isaiah 45:1, 4; see also 41:2-25; 42:6). Evincing His sovereignty over all nations, God says of Cyrus, “He is my shepherd and will accomplish all that I please” (Isaiah 44:28).

Cyrus’s decree releasing the Jewish people, in fulfillment of prophecy, is recorded in 2 Chronicles 36:22–23: “Now in the first year of Cyrus king of Persia, that the word of the LORD by the mouth of Jeremiah might be fulfilled, the LORD stirred up the spirit of Cyrus king of Persia, so that he made a proclamation throughout all his kingdom and also put it in writing: ‘Thus says Cyrus king of Persia, “The LORD, the God of heaven, has given me all the kingdoms of the earth, and he has charged me to build him a house at Jerusalem, which is in Judah. Whoever is among you of all his people, may the LORD his God be with him. Let him go up.”’” Other Old Testament books that mention Cyrus include Ezra and Daniel.

King Cyrus actively assisted the Jews in rebuilding the temple in Jerusalem under Zerubbabel and Joshua the high priest. Cyrus restored the temple treasures to Jerusalem and allowed building expenses to be paid from the royal treasury (Ezra 1:4–11; 6:4–5). Cyrus’s beneficence helped to restart the temple worship practices that had languished during the 70 years of the Jews’ captivity. Some commentators point to Cyrus’s decree to rebuild Jerusalem as the official beginning of Judaism.

Among the Jews deported from Judah and later placed under the rule of Cyrus include the prophet Daniel. In fact, we are told Daniel served until at least the third year of King Cyrus, approximately 536 BC (Daniel 10:1). That being the case, Daniel likely had some personal involvement in the decree that was made in support of the Jews. The historian Josephus says that Cyrus was informed of the biblical prophecies written about him (Antiquities of the Jews, XI.1.2). The natural person to have shown Cyrus the scrolls was Daniel, a high-ranking official in Persia (Daniel 6:28).

Besides his dealings with the Jews, Cyrus is known for his advancement of human rights, his brilliant military strategy, and his bridging of Eastern and Western cultures. He was a king of tremendous influence and a person God used to help fulfill an important Old Testament prophecy. God’s use of Cyrus as a “shepherd” for His people illustrates the truth of Proverbs 21:1, “The king's heart is in the hand of the LORD; he directs it like a watercourse wherever he pleases.”",against
"#Palestine
wake up to. Al Jazeera Arabic reporter shireen has been killed by Israeli forces while covering a raid into Jenin refugee camp in the occupied West Bank.

The brutal crime of shooting journalists.
The Israeli occupation used to kill journalists because the world is silent and the occupation was not held accountable for its crimes.
R.I.P

We grew up watching Shireen on TV. Total shock.

R.I.P",with
"I am from the United States and I support Palestine!!! You are the TRUE PEOPLE OF GOD!!!! We have educated ourselves and seen THIS IS NOT YOUR FAULT!!! We Americans have been sharing videos all over social media and they are banning our accounts. So if you don't hear from us, just know they silenced our voice too!! 🇵🇸Free Palestine 🇵🇸 Free Palestine 🇵🇸",with
"Hauled over the coals by the media and in the court of public opinion for exercising its right to self-defense against Hamas terrorists in Gaza, Israel has been here before.",against
"What would you do if this kidnapped 3-year old was your child, grandchild, family member …
I Stand With Israel
#StandWithIsrael #IStandWithIsrael
Bring Them-Israeli Hostages Home Now
#BringThemHome #BringThemHomeNow
Am Yisrael Chai עם ישראל חי The People of Israel Live
#AmYisraelChai #Israel

Bring Them Home Now
November 8 at 4:01 PM ·

Yahel is only 3 years old. Can you perceive it? Just 3 years old. It's been over a month since she's held by the Hamas terrorist organization in Gaza. Yahel is a cheerful child who loves jumping on trampolines and reading books. Can she still smile there, in the darkness, beneath the ground? How, in any way, is it possible to kidnap a child and harm her? We must do everything to bring her back home, now.",against
I love you palestine,with
"Suppose that Islam is wrong, do you think that you Jews will enter Paradise in the afterlife by killing innocent people unjustly?? After you raped them in their lands??, you will now be victorious over the Muslims, but this life is over, and we will meet in the eternal afterlife. We will enter Paradise, God willing, and you will be tortured in Hell forever, after you tortured innocent people. You and all those who follow the path of falsehood!..",with
"Armed and Trained Jews = NEVER AGAIN!🔥🇮🇱
🔥It’s time to destroy evil. Who is with me?",against
"Heart-touching moments!

A Palestinian female cries after seeing Al-Aqsa Mosque for the first time in her life.",with
"In the name of God, the most gracious, the most merciful

Press Statement

*The power outage in the Indonesian hospital is a crime against humanity. We call on the Arab and Islamic countries and the United Nations to remedy it urgently.*

The power outage from the Indonesian hospital in the northern Gaza Strip due to the lack of fuel is a crime against humanity, and a disgrace to the countries that remained silent and participated in the occupation’s aggression and the genocide it is committing against our people and defenseless civilians.

We call on our Arab and Islamic countries and the United Nations to take urgent and immediate action to provide fuel supplies to operate electrical generators for hospitals, and we warn against the consequences of negligence in providing fuel, which means condemning all sick and wounded people to death in hospitals.

*Islamic Resistance Movement - Hamas*

Tuesday: 09 Rabi’ al-Thani 1445 AH
Corresponding to: October 24, 2023 AD

#IsraeliNewNazism #Palestine_resists #IsraelisISIS #Gaza_resists #ısraelTerrorists #طوفان_الأقصى #israeli_large_scale_aggression #GazaGenocide #palestinelivesmatter #Gaza_Under_Attack Pelestine War Update @followers",with
"""I have commanded you: Be strong and courageous! Do not fear or be dismayed, for Hashem your God will be with you, wherever you go"" (Yeshua 1,9)

Today take this message for yourself too, and move forward without fear!!",with
"YOU CANNOT STOP THE VOICE MARK ZUCKERBERG UGLY JEW 🖕🏻

I WILL SUPPORT PALESTINE AGAIN AND AGAIN AND AGAIN ❤️🇵🇸❤️",with
"‘The echo chamber is slimy. It tells us about thawed Iranian revenues, but it doesn’t tell us about the large cash gift or that the American taxpayer paid ransom to Iran. Instead, the echo chamber peppers us with irrelevant facts, smug in the belief that wool can be pulled over the eyes of the American public. The tactic has demonstrated its efficacy over the years, with Americans amplifying whatever irrelevant talking points they are supplied. Is it a case of intellectual laziness or are they simply too trusting?’

ELDEROFZIYON.BLOGSPOT.COM
Follow the Money: The Dirty Trail that Led to October 7th (Judean Rose)",against
Pastor Nick praying for the peace of Jerusalem 🙏May the Lord grant his prayers answered.,against
"If you don't want to se the reality leave my page...
#NewsUpdate #Gaza_Under_Attack #FreePalestine #video #reelsviral #reelsfb #dua",with
"In all seasons and over all battles, ISRAEL shall PREVAIL.",against
"What a legend!!!

This is 81 year old Yair Levy who still volunteers for the IDF reserves for 30 years after his mandatory reserve duty already ended! 🫡

30 years ago his son Eyal, who served in Golani, was killed in an ambush in southern Lebanon. After his son's death he decided to return to reserve duty and follow in his son's footsteps. Since then he has been serving in the ""Carmeli"" reserve brigade.

After the Hamas massacre occurred, Yair received an IDF call up order (Tzav 8). He did not think twice and got his army equipment which belonged to his late son and left to join the brigade.

He gives lectures on battle to various army companies as well as gives motivational talks and encouragement to the soldiers.

Legends live forever!",against
"A double miracle!
Listen to the amazing story of Noa and Naam Hanukkah from Kibbutz Meflasim.

On that black Saturday, Neam went out to work, from Kibbutz Meflasim, to Ashkelon and was shot by a terrorist squad.
Noa, his wife, nine months of pregnancy, stayed at home.

Within a few minutes, alarms started at a crazy pace and she challenged herself to the dimension, at this time she received a call from Naam ""Noa sorry, they shot me.""

Noam got out of the car and sought help, an officer passing by picked him up in the direction of Barzilai Hospital. On the way, they encountered more terrorists, and the officer was also shot. At this stage, Noa had already understood that dozens of terrorists had infiltrated Kibbutz, and she only wanted to know that Naam was saved. He calls her again and she realizes the officer has been shot and is missing, she is pleading with him to get help and stay alive.

At this stage the first miracle happened, Shlomi Shashi from the kibbutz heard the sirens and returned to levels. On the way saw Neam injured in the car. Without thinking twice, he got out of his car, got into the officer's vehicle and took Noam to the hospital.

At the same time, the water went down to Noa. The Kibbutz paramedic and the brave readiness class, managed to rescue Noa and send her to the hospital. Noa lay down next to Na'am, when he was asleep and breathing and was afraid that she had lost both him and their baby.

About a week ago the second miracle happened - Naam woke up, and a few days later, on 18.10, the anniversary of Naam and Noa, their son was born.

Congratulations Noa and Naam!
Credit: Uri Scheter #fbisrael",against
🇮🇱 Young Israelis from around the world return to the country to join the army and fight evil. Victory is ours!,against
"We will not go down 🌷
Song for #Gaza
#FreePalestine ✌☈",with
"Congresswoman Rashida Tlaib, the only Palestinian American Member of Congress, was censured by the House for advocating for Palestinian rights. In an interview with Chris Hayes, she reacts to the vote, speaks about a future of freedom for all, and shares updates on Michigan constituents who were trapped in Gaza.

Israel has killed more than 10,800 Palestinians, including 4,400 children, since October 7th.",with
"Happy new month of November 2023. If you love and support Israel 🇮🇱 🇮🇱 tell us where you from, where you are supporting. May the Lord Yeshua aka Jesus Christ bless you O:) 🕇🔯",against
"🇵🇸❤️

Nalmifee N
8 hrs ·

Please do something to
stop this War!
innocent children families and animals don't deserve this in both sides.",with
Hi! I'm new to this group. I recently joined because I'm outraged at the decades long illegal occupation of your country and the associated terrorism against your citizens by the Israel government. I'm outraged at the killing of innocent civilians. And disappointed that the UN hasn't stepped in to help the Palestinians. I want to stay informed about the situation.,with
"IT HAS BEEN A MONTH SINCE THE OCTOBER 7th MASSACRE OF ISRAELI CITIZENS!
The weeks came and went in a blur. Israel launched its ground offensive and surrounded Gaza City. Yet no matter the progress of war on the front lines, the landscape of Israel remains forever changed.
In the past month, during which I have spent time on the Gaza border, in northern Israel, in Jerusalem, and in Tel Aviv, I was also in the sun-drenched fields near Gaza, in the communities destroyed and in those evacuated. The trauma across Israel is difficult to describe. The most noticeable difference is not the sight of funerals or similar gatherings; rather, in many cases, it is the absence of people.
Streets are quiet. Drivers don’t use their horns the way they used to. Parking lots in Tel Aviv near the beach are deserted. The city’s HaYarkon park, usually full of activities, feels abandoned, as if it has returned to nature. The beaches are almost empty. Bars and restaurants have lost their usual clamor.
Posters for the hostages are everywhere. Outside Tel Aviv’s Habima Theater, a display of empty beds has been left outside, symbolizing the empty beds of the hostages. Some people adorn their bags and bikes with yellow ribbons. People walk quietly among the posters, like ghosts.
At Tel Aviv’s Azrieli Center, the giant flashing billboard that usually displays ads for chocolate or fashion accessories now shows the kidnapped children and adults held in Gaza. A construction site is adorned with a poster of a giant lion emblazoned with the Israeli flag.
There is a juxtaposition here of mourning, demands for the return of the hostages, and patriotism, and they do not necessarily go hand-in-hand. People have been flocking to support our soldiers. The whole country seems to be either under arms or in support of the war effort.On the other hand, it is also quiet and somber; there is no cheering for this war. There is hope that the soldiers will return, but not yet a sense of victory.

—- Evacuees from the South and North —-
In both the South and the North, communities have been evacuated – around 100 border communities and two cities – totaling at least 200,000 people who have left their homes; some because their communities were destroyed by Hamas, and any others because they were provided a place to go and encouraged to leave. They have moved to hundreds of guest houses and hotels across Israel.
Eilat is swelled by an additional 60,000 people. This means that the closer one gets to the borders, the more empty they appear. People still work the fields, thanks to volunteers who have come to help the communities. The locals have been replaced by the army, as tanks replace tractors, APCs replace SUVs, and Humvees replace cars. And all manner of this menagerie of vehicles is on the roads; from fuel trucks to Humvees that are decades old to the ancient M113 APCs that date from the Vietnam era. These vehicles seem more fitting for a movie set as they drive around fields like armadillos plodding along.
And the army keeps moving. At Urim Junction, where several weeks ago the air was filled with the smell of meat being grilled for soldiers, the soldiers have moved on, like a nomadic tribe that has picked up their tents and migrated.
IN WAR, everything is temporary. A bivouac here, a few tanks there, some training to be done in this field and then in that field. And they leave things behind. A tank that was unloaded in the early days of the war near Yad Mordechai left tracks on the road. Tanks aren’t supposed to drive on civilian roads because they chew up the concrete. But war is war, and roads must suffer. Fields must also suffer; it isn’t melon season near the Gaza border this time, so the tanks have had the good luck of not churning up fields full of crops. Instead, perhaps, they have helped prepare the soil for the next planting.
The sounds of war are changing as well. A month into it, the rocket attacks from Gaza appear to be reduced. Some 10,000 have been fired, but half of those were fired in the first days. Today, the enemy can fire a barrage a day from Gaza. But there are other threats – from Hezbollah and other Iran-backed groups in Syria and Yemen.
The landscape is not the same. In the South, many communities now have security checks at their entrances. The security threat seems to be ever-present. In the North, they have had to add shelters to places because some communities don’t have enough. Tel Aviv is full of posters of the missing hostages. Jerusalem is quiet, but somewhat lacks the posters that are so common in Tel Aviv. Perhaps this is a reminder that behind the unity and calls for victory, the cities and towns are not all the same. The country is unified for now. But the differences are here beneath the surface! Jerusalem Post #fbisrael",against
"Pro-Palestinian woman asking how can Palestinians defend themselves without being called terrorists. Let's ask this question ourselves- Thousands of armed men blow a fence during a cease-fire, enter a music festival where they rape and murder peace-loving partygoers, then go into every town in the towns by the border, enter people's residents torture them, murder them, burn them alive, kill their pets just for a laugh, steal what they have left and take hostages from all ages - some are volunteers driving Gazan kids to Israeli hospitals. does this sound like self-defense or terrorism to you? How about an organized army running to the party, running to the towns, trying to stop those infiltrated and save the civilians under attack, then go back to save their pets, then give 2 weeks' notice to all innocent people in Gaza to leave so they can stop only those responsible for the attack and bring back the hostages. Does this sound like self-defence or terrorism to you? Don't be on the wrong side of history. Stand with Israel. Ask important questions. #StandWithIsrael #HamasisISIS #HamasRedefinedEvil
#israelwillwintheterror
https://www.facebook.com/reel/1854796441589934

Gadi La Bruno
October 29 at 10:05 PM",against
"Watch: Israeli warplanes bomb a supermarket full of civilian shoppers in Nusseirat refugee camp, in the central Gaza Strip.
#GazaGenocide",with
"An UNRWA school in the beach area, west of Gaza, containing a large number of displaced people, was targeted with phosphorus shells.",with
"You will know them by their fruits.

Islam: “None of you believes until he wishes for his brother what he wishes for himself.” (An-Nawawi’s Forty Hadith 13)

Christianity: “Do to others what you want them to do to you.” (Matthew 7:21)

Judaism: “That which is hateful to you, do not do to your fellow. That is the whole Torah; the rest is commentary.” (Talmud, Shabbat 31a)

Buddhism: “Do not hurt others in ways you yourself would find hurtful” (Udanavarga 5:18)

Hinduism: “This is the sum of duty: do nothing to others that would cause you pain if done to you.” (Mahabharata 5:117)",neutral
IDF Lion's of Judah on the land as seized Gaza and the Eagle eyes for IDF in space and sea are watching Hamas 24/7 on their every movement and actions in Gaza and all around the Middle East.,neutral
"Yes , Israel God's chosen. Amen",against
JERUSALEM will remain Israel's undivided Capital . Then now and forever .,against
"I'm member of Kar-e-Kamal 💫
We are collecting donations for our Palestinian Brothers If you want to donate DM me 💫
All of you know the current situation of Palestine 🤲 It's time to do something for them....
Your single penny Matters alot and if you are considering It's fake or scam Kar-e-Kamal Is a real platforms If anyone have any query and want proof for satisfaction it's your right you can DM me 💫
JazakAllah
#karekamal
#donate_for_afterlife
#standwithPalestine
#FreePalestineNow",with
"Whenever they ask you where did you get this courage from, tell them I'm the real owner of this land. ✌️

Palestinian young man fearlessly raises the Palestinian flag over an Israeli military jeep.

Lonely Truth
May 6, 2022 at 9:59 PM ·",with
"Ganamos Ganamos siiiiii Ganamos, huy es verdad no lo puedo creer que tremendo es nuestro (Dios-Elokim), Israel fue por tierra mar y aire, (El Señor-Adonai), le dio una victoria arrasadora y fulminante.

We won We won yessssss We won, today it's true I can't believe how tremendous is ours (God-Elokim), Israel went by land sea and air, (The Lord-Adonai), gave him a tremendous and lightning victory.",against
"🇮🇱🇮🇱 Isreal my love, I stand by you. Bless are you among nations, for your enemies shall drink of the cup of condemnation and eternal death.",against
"The Biden administration's assertion that Hamas is an insignificant group of terrorists that does not enjoy the support of many Palestinians is not only false; it is dangerously so. This assertion contradicts the reality, which proves that Hamas actually does represent a significant portion of the Palestinians.

GATESTONEINSTITUTE.ORG
Who Says Hamas Does Not Represent The Palestinians?",against
"The Nazis, too, were deeply proud of their mass murder of Jews. But they were concerned that photographs of the atrocities might be used as evidence in war crimes trials later. For some reason, the pogromists from Gaza do not seem to be worried about that.

ISRAELHAYOM.COM
The technology is new, but the mindset isn't",against
"She did nothing to deserve this. So fragile so beautiful. 😥 If you support Israel, you support this !!
#Gaza_Under_Attack #Palestine",with
"Palestine has taken part in the 19th Asian Game 2023

Wish them success 🇵🇸",with
Israel are blaming hamas please share truth of Israel,with
"All of our elected officials have a moral responsibility to call for a ceasefire now and bring the genocide in Gaza inflicted by Israel to an end. Mayor Ron Nirenberg and Congressman Joaquin Castro must use their power and platforms to add weight behind this demand or they have blood on their hands. Silence is complicity.

Congressman @joaquincastrotx must support the ceasefire resolution put forward by Congresswoman Cori Bush.

Mayor @ron_nirenberg must issue a proclamation in support of a ceasefire and leverage the city’s intergovernmental relations staff to reinforce the ceasefire position within the federal government.

#ceasefirenow #freepalestine #endtheseigeongaza",with
"I am from Philippines
I love Palestinians
🤲🤲🤲🤲💕❤️",with
free Palestine,with
"Despite the loss of his mother, Adam never let go of his bag of candy including lollipop after his house was bombed by Israel in Gaza.",with
"Probably, many people do not know what the flag of Israel means. Let me say that the two blue lines above and below the flag show the Nile and Euphrates rivers, the white background between them is the holy land that God promised to Abraham (Gen. 15:18), and the six-pointed star, which is similar to each other. It shows the six turns or turns of the borders of the promised land, and in a spiritual sense, the union of God and man. This is what the flag of Israel symbolizes.",against
"The Ari Fuld Project gets a big thank you from soldiers in the field.

Miriam Fuld",against
"And there is no reaction from the international community !!!!!!
Stop terrorism
FREE PALESTINE
#FREEPALESTINE #freedom #GazaUnderAttack #IsraeliCrimes #Israeli #IsraeliOccupation #Terrorism #savepalestine Jewish Voice for Peace

‎Viva Palestina فلسطين حرة‎
August 6, 2022 at 2:37 PM ·

A CCTV record documents the first moments of the Israeli airstrike against Palestine residential tower in #Gaza city",with
"Only Jesus can deliver you from hell. Trust and obey Him before departing from this world. Repent from sin
JESUS IS COMING SOON",neutral
"We stand for Palestine. Let's stop turning a blind eye and deaf ear to the oppression and actions of Israel. It appears to go against humanity and international laws. With regards to Israel, it seems that they have sought assistance from Palestine in the past, yet at other times, they have acted against the interests of those who extended a hand. For those who continue to support Israel, it's important to study the history of Palestine and the actions of that corrupted Israel first. This issue is not solely about religion, it's about humanity and the fair application of rules.

TRT World
October 14 at 9:00 AM ·

Fake news regarding Hamas's attack on Israel has been spreading rapidly on social media, with journalists and Western politicians also reiterating claims without evidence. Here are some other reports that are unsubstantiated or have been proven false.",with
Israel the home of victory God please bless Israel..,against
"We stand with Israel
🇮🇱",against
Heartless💔 where is the so called human rights??? Despicable 😠 Free Free Palestine,with
"Our amazing IDF soldiers in and around Gaza show off their new tactical equipment.

Please help The Ari Fuld Project continue to support our IDF soldiers. Even if you can't donate yourself, please spread the link to others.

Together we will win!

https://arifuld.org/israel-at-war-emergency-campaign/",against
"🇮🇱 This👇 is what an Israeli hero looks like ❤️

www.UnityWarriors.com to help an Israeli hero save lives today. We are ALL at war for the sake of Israel.",against
"Pseudo-liberal Paddy Cosgrave and people like him deal with data and numbers and close their eyes and hearts to the horrific crimes against humanity committed by Hamas-ISIS in its barbaric attack on Israel on October 7. This day will never be just another day in the ""conflict in the Middle East"". Israel – the ""never again"" country - must eliminate the organization who massacred 1,500 people of its citizens. #HamasisISIS #FreePalestineFromHamas #TheTruthAboutHamas #TheWestlsNext",against
